"clock_mask_h","clock_mask_l","clock_ovf_h","clock_ovf_l","clock_rate","coarse_h","coarse_l","config0","config1","config2","config3","config4","error_flags","int_mask","int_status","size","timeout","tof0","tof1"
"fc","0","f","7","3","ff","107","54","82","44","b","11","3","7","7","0.3","3","0","3f"
"85","0","9d","a","3","ff","109","54","82","44","b","11","3","7","7","0.4","3","0","92"
"d","0","2c","d","3","ff","10c","54","82","44","b","11","3","7","7","0.5","3","0","e4"
"95","0","ba","f","3","ff","10e","54","82","44","b","12","3","7","7","0.6","3","0","37"
"1e","0","48","12","3","ff","111","54","82","44","b","12","3","7","7","0.7","3","0","89"
"a6","0","d7","14","3","ff","113","54","82","44","b","12","3","7","7","0.8","3","0","db"
"2f","0","65","17","3","ff","116","54","82","44","b","13","3","7","7","0.9","3","0","2d"
"b7","0","f3","19","3","ff","118","54","82","44","b","13","3","7","7","1","3","0","80"
"3f","0","82","1c","3","ff","11b","54","82","44","b","13","3","7","7","1.1","3","0","d2"
"c8","0","10","1e","3","ff","11e","54","82","44","b","14","3","7","7","1.2","3","0","25"
"a8","0","cf","10","3","ff","10f","34","82","44","b","12","3","7","7","1.3","3","0","65"
"ec","0","16","11","3","ff","111","34","82","44","b","12","3","7","7","1.4","3","0","8e"
"24","0","4d","11","3","ff","110","34","82","44","b","12","3","7","7","1.5","3","0","75"
"46","0","71","12","3","ff","111","34","82","44","b","12","3","7","7","1.6","3","0","99"
"68","0","96","13","3","ff","112","34","82","44","b","12","3","7","7","1.7","3","0","bd"
"8a","0","ba","14","3","ff","113","34","82","44","b","12","3","7","7","1.8","3","0","e2"
"ac","0","df","15","3","ff","114","34","82","44","b","13","3","7","7","1.9","3","0","7"
"ce","0","4","16","3","ff","116","34","82","44","b","13","3","7","7","2","3","0","2c"
